title,image_url,product_url,gender,sleeve_type,local_image,source
glusic trends Cotton Blend Regular Fit Printed Full Sleeves Men's Casual Shirt - Blue ( Pack of 1 ),https://g.sdlcdn.com/imgs/l/i/i/glusic-trends-Cotton-Blend-Regular-SDL855425960-1-ffb6d.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/glusic-trends-cotton-blend-regular/5764608148120836508,male,full_sleeve,D:\vs code\projects 2026\fashion_scraper_and_classifier\data\images\product_0000.jpg,snapdeal
Varidashi Lycra Regular Fit Printed Full Sleeves Men's Casual Shirt - Maroon ( Pack of 1 ),https://g.sdlcdn.com/imgs/l/f/t/Varidashi-Lycra-Regular-Fit-Printed-SDL068360796-1-dc635.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/varidashi-lycra-regular-fit-printed/6917529693227539016,male,full_sleeve,D:\vs code\projects 2026\fashion_scraper_and_classifier\data\images\product_0001.jpg,snapdeal
Nofilter Poly Cotton Regular Fit Self Design Full Sleeves Men's Casual Shirt - Pink ( Pack of 1 ),https://g.sdlcdn.com/imgs/l/e/s/Nofilter-Poly-cotton-Regular-Fit-SDL226552714-1-3e9f2.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/nofilter-poly-cotton-regular-fit/5764608191401109741,male,full_sleeve,D:\vs code\projects 2026\fashion_scraper_and_classifier\data\images\product_0002.jpg,snapdeal
SPOQUE Poly cotton Regular Fit Self Design Full Sleeves Men's Casual Shirt - Grey ( Pack of 1 ),https://g.sdlcdn.com/imgs/l/e/5/SPOQUE-Poly-cotton-Regular-Fit-SDL465725308-1-d6a2d.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/spoque-poly-cotton-regular-fit/7493990451323114726,male,full_sleeve,D:\vs code\projects 2026\fashion_scraper_and_classifier\data\images\product_0003.jpg,snapdeal
Nexra Creation Cotton Blend Regular Fit Solids Full Sleeves Men's Casual Shirt - White ( Pack of 1 ),https://g.sdlcdn.com/imgs/k/9/g/Nexra-Creation-Cotton-Blend-Regular-SDL410182460-1-7e21a.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/nexra-creation-cotton-blend-regular/5188147392410502357,male,full_sleeve,D:\vs code\projects 2026\fashion_scraper_and_classifier\data\images\product_0004.jpg,snapdeal
Highlander 100% Cotton Slim Fit Solids Full Sleeves Men's Casual Shirt - Green ( Pack of 1 ),https://g.sdlcdn.com/imgs/k/8/h/Highlander-100-Cotton-Slim-Fit-SDL819545265-1-bf5f6.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/highlander-100-cotton-slim-fit/631240499047,male,full_sleeve,D:\vs code\projects 2026\fashion_scraper_and_classifier\data\images\product_0005.jpg,snapdeal
Sangani Poly Cotton Regular Fit Printed Full Sleeves Men's Casual Shirt - Pink ( Pack of 1 ),https://g.sdlcdn.com/imgs/l/a/8/Sangani-Poly-Cotton-Regular-Fit-SDL732268054-1-b431f.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/sangani-poly-cotton-regular-fit/6917529686977936827,male,full_sleeve,D:\vs code\projects 2026\fashion_scraper_and_classifier\data\images\product_0006.jpg,snapdeal
VELLOSTA Polyester Regular Fit Self Design Full Sleeves Men's Casual Shirt - Brown ( Pack of 1 ),https://g.sdlcdn.com/imgs/l/e/w/VELLOSTA-Polyester-Regular-Fit-Self-SDL020205374-1-7e999.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/vellosta-polyester-regular-fit-self/6917529666960942352,male,full_sleeve,D:\vs code\projects 2026\fashion_scraper_and_classifier\data\images\product_0007.jpg,snapdeal
OQUENT Poly Cotton Regular Fit Solids Full Sleeves Men's Casual Shirt - Black ( Pack of 1 ),https://g.sdlcdn.com/imgs/l/f/p/OQUENT-Poly-Cotton-Regular-Fit-SDL303726179-1-33802.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/oquent-poly-cotton-regular-fit/8646911950153115644,male,full_sleeve,D:\vs code\projects 2026\fashion_scraper_and_classifier\data\images\product_0008.jpg,snapdeal
FABPLANET Polyester Regular Fit Printed Full Sleeves Men's Casual Shirt - Black ( Pack of 1 ),https://g.sdlcdn.com/imgs/l/d/1/FABPLANET-Polyester-Regular-Fit-Printed-SDL763824241-1-83945.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/fabplanet-polyester-regular-fit-printed/621078626796,male,full_sleeve,D:\vs code\projects 2026\fashion_scraper_and_classifier\data\images\product_0009.jpg,snapdeal
